strategy,comparison,metric,point_diff,ci_lo,ci_hi,excludes_zero,n_boot
men_only,PS-VAEP - P-VAEP,concede_auc,0.007421108804719689,-0.019230262553477925,0.030871060960421737,False,1000
men_only,PS-VAEP - P-VAEP,concede_ap,0.0026043436678359067,-0.04052103981720855,0.04324072206653252,False,1000
men_only,PS-VAEP - P-VAEP,concede_brier,-1.8053163490727112e-05,-0.00011247779917906143,7.214912706482363e-05,False,1000
men_only,PS-VAEP - P-VAEP,concede_logloss,-0.0003196861409037431,-0.0007213839397555488,5.307211097172317e-05,False,1000
men_only,PS-VAEP - P-VAEP,concede_ece,9.309706516745834e-05,-9.250076569763431e-05,0.00025318921646747466,False,1000
men_only,PS-VAEP - P-VAEP,concede_ace,-0.0003330198702990259,-0.0007185640443168542,0.00016010641819075202,False,1000
men_only,PS-VAEP - E-VAEP,score_auc,-0.003335206204855945,-0.010036845382011033,0.0030212323155860725,False,1000
men_only,PS-VAEP - E-VAEP,score_ap,-0.0005271469224052416,-0.008297715720346505,0.00689715857235078,False,1000
men_only,PS-VAEP - E-VAEP,score_brier,-4.871452070719963e-05,-0.00010684878636501071,8.861918119021407e-06,False,1000
men_only,PS-VAEP - E-VAEP,score_logloss,-1.4442080857698936e-05,-0.0004798366302941552,0.0004069974363693656,False,1000
men_only,PS-VAEP - E-VAEP,score_ece,0.00025286487667035545,-0.00023981830138062078,0.0007664754949786851,False,1000
men_only,PS-VAEP - E-VAEP,score_ace,-0.0003703171245487396,-0.0007426817319522095,0.0001054666225520446,False,1000
men_only,PS-VAEP - E-VAEP,concede_auc,0.006058563669011363,-0.01829442830219036,0.02472098374934101,False,1000
men_only,PS-VAEP - E-VAEP,concede_ap,0.006251411460028611,-0.03214106440237603,0.047498217673046586,False,1000
men_only,PS-VAEP - E-VAEP,concede_brier,-3.7304761316617543e-05,-0.0001337977360620221,5.3699481899451864e-05,False,1000
men_only,PS-VAEP - E-VAEP,concede_logloss,-0.0003723274176428322,-0.0007905155789998623,3.0603687623700857e-05,False,1000
men_only,PS-VAEP - E-VAEP,concede_ece,0.00012604448532831363,-8.472932711407237e-05,0.000321623817574493,False,1000
men_only,PS-VAEP - E-VAEP,concede_ace,-0.00034710004205668033,-0.0006071379347162697,0.00010769192779746713,False,1000
women_only,P-VAEP - E-VAEP,score_auc,-0.004648513303403767,-0.011097046941941672,0.0022444101070175047,False,1000
women_only,P-VAEP - E-VAEP,score_ap,-0.0014307365012771744,-0.008644939195145657,0.006319863059344907,False,1000
women_only,P-VAEP - E-VAEP,score_brier,-3.012597427011661e-05,-0.00011435163970228437,3.6203251913790696e-05,False,1000
women_only,P-VAEP - E-VAEP,score_logloss,0.0002864719477967126,-0.00021055923374985828,0.0008117521744996176,False,1000
women_only,P-VAEP - E-VAEP,score_ece,0.00035095597022917827,-0.00010817583212079264,0.000862673088263662,False,1000
women_only,P-VAEP - E-VAEP,score_ace,-0.00010476782405295171,-0.0007559424320828394,0.0005172906238478449,False,1000
women_only,P-VAEP - E-VAEP,concede_auc,0.016019989971398862,-0.010906358893774509,0.04647519718921998,False,1000
women_only,P-VAEP - E-VAEP,concede_ap,-0.012371217039486515,-0.034724431331519146,0.008274747375472092,False,1000
women_only,P-VAEP - E-VAEP,concede_brier,2.160691128481407e-05,-1.0410150565442804e-05,5.6036457124537784e-05,False,1000
women_only,P-VAEP - E-VAEP,concede_logloss,0.0003214466759772043,-7.10629665239129e-05,0.000809855318798486,False,1000
women_only,P-VAEP - E-VAEP,concede_ece,0.0004949642963408322,0.00028794119886915134,0.0006099376795726562,True,1000
women_only,P-VAEP - E-VAEP,concede_ace,0.00015836005088018068,-8.978636641023787e-05,0.00039454764711064006,False,1000
women_only,PS-VAEP - P-VAEP,score_auc,-0.0033892897757621387,-0.013803115436507946,0.007149892920805009,False,1000
women_only,PS-VAEP - P-VAEP,score_ap,0.004862682012477304,-0.006345939556915586,0.015578832748267085,False,1000
women_only,PS-VAEP - P-VAEP,score_brier,5.2757767099117364e-05,-4.6607553433246005e-05,0.00015859360894854575,False,1000
women_only,PS-VAEP - P-VAEP,score_logloss,0.00014294225894802282,-0.0006487722516075429,0.0008697928193504022,False,1000
