variant,num_leaves,learning_rate,feature_fraction,n_train_matches,n_train_rows,n_eval_rows,n_features,seed,learner,score_auc,score_ap,score_logloss,concede_auc,concede_ap,concede_logloss
ES-VAEP,63,0.03,0.6,295,459240,51172,223,42,lightgbm,0.8264627387895999,0.298452070719813,0.062318293119719356,0.8518223200804529,0.17736058018540227,0.018000578029851593
ES-VAEP,63,0.03,0.8,295,459240,51172,223,42,lightgbm,0.8282004135387828,0.30221182377295785,0.06216047175956989,0.8550618383714448,0.18114868240867057,0.017812903382739064
ES-VAEP,63,0.05,0.6,295,459240,51172,223,42,lightgbm,0.8272170040691507,0.29537652007962856,0.062462002155671464,0.8549810493054213,0.151258723077928,0.01843387614350002
ES-VAEP,63,0.05,0.8,295,459240,51172,223,42,lightgbm,0.8287151311368597,0.29668776974127387,0.062328266902639304,0.8469196227229052,0.16285937281344368,0.018209435380912426
ES-VAEP,63,0.1,0.6,295,459240,51172,223,42,lightgbm,0.8231189764422904,0.28133294106918605,0.06346709488282999,0.817065597696223,0.12093000879284287,0.020934196860545998
ES-VAEP,63,0.1,0.8,295,459240,51172,223,42,lightgbm,0.8210183827019106,0.28267944307626736,0.06343353963816689,0.8248682975749273,0.10868120978976006,0.020398344854784527
ES-VAEP,127,0.03,0.6,295,459240,51172,223,42,lightgbm,0.8255394775429822,0.29502672333499336,0.06280827141556664,0.8500361645923149,0.17927700457871318,0.01808405092620016
ES-VAEP,127,0.03,0.8,295,459240,51172,223,42,lightgbm,0.8231816526164841,0.29728300503715444,0.06282041170469545,0.84549881085442,0.1639734542363203,0.01808135359981852
ES-VAEP,127,0.05,0.6,295,459240,51172,223,42,lightgbm,0.8209442092112951,0.2920334981695456,0.0629040616530407,0.8384306079629334,0.1421908976396124,0.01885057569832126
ES-VAEP,127,0.05,0.8,295,459240,51172,223,42,lightgbm,0.8227620005670875,0.29374135991978145,0.06280905667684542,0.8517616442423784,0.161259897535386,0.018247132826320397
ES-VAEP,127,0.1,0.6,295,459240,51172,223,42,lightgbm,0.8138993561867411,0.27760907453555966,0.063948061683446,0.8170728250121155,0.1166470705387771,0.021124593489193114
ES-VAEP,127,0.1,0.8,295,459240,51172,223,42,lightgbm,0.8157384042089415,0.27184616324312516,0.06434668318967984,0.8282009305869533,0.11617254552083855,0.020103510231617272
